mesh speed
x, single, aggr
10,  4.18,  4.19
20,  5.05,  5.23
30,  5.36,  5.75
40,  5.62,  6.11
50,  5.75,  6.44
60,  5.73,  6.45
70,  5.89,  6.84
80,  6.04,  6.94
90,  6.16,  7.06
100,  6.25,  7.25

mesh accuracyTotalPercentage
x, single, aggr
10, 100.00, 99.80
20, 100.00, 99.56
30, 100.00, 99.65
40, 100.00, 99.71
50, 100.00, 99.60
60, 100.00, 99.76
70, 100.00, 99.77
80, 100.00, 99.86
90, 100.00, 99.79
100, 100.00, 99.80

mesh accuracySinglePercentage
x, single, aggr
10, 100.00, 53.97
20, 100.00, 26.14
30, 100.00, 16.77
40, 100.00, 12.52
50, 100.00, 10.08
60, 100.00,  8.27
70, 100.00,  7.06
80, 100.00,  6.18
90, 100.00,  5.49
100, 100.00,  4.98

mesh accuracyCohortsMemberCount
x, single, aggr
10,  0.00,  5.28
20,  0.00, 14.85
30,  0.00, 25.02
40,  0.00, 35.02
50,  0.00, 44.87
60,  0.00, 54.99
70,  0.00, 64.96
80,  0.00, 75.00
90,  0.00, 84.89
100,  0.00, 94.82

mesh accuracyCohortsGroupCount
x, single, aggr
10,  0.00,  1.73
20,  0.00,  2.89
30,  0.00,  3.35
40,  0.00,  3.56
50,  0.00,  3.77
60,  0.00,  3.80
70,  0.00,  3.99
80,  0.00,  4.06
90,  0.00,  4.14
100,  0.00,  4.24

mesh accuracyAveragePerCohortsGroup
x, single, aggr
10,  0.00,  3.06
20,  0.00,  5.14
30,  0.00,  7.47
40,  0.00,  9.84
50,  0.00, 11.92
60,  0.00, 14.46
70,  0.00, 16.28
80,  0.00, 18.49
90,  0.00, 20.48
100,  0.00, 22.34

mesh countTotal
x, single, aggr
10, 155.57, 80.52
20, 636.77, 194.39
30, 1455.80, 309.94
40, 2603.37, 433.65
50, 4073.05, 561.44
60, 5892.38, 675.99
70, 7980.68, 815.23
80, 10367.56, 930.13
90, 13192.14, 1065.35
100, 16256.44, 1212.76

mesh countSingle
x, single, aggr
10, 155.57, 26.00
20, 636.77, 54.00
30, 1455.80, 82.00
40, 2603.37, 110.00
50, 4073.05, 138.00
60, 5892.38, 166.00
70, 7980.68, 194.00
80, 10367.56, 222.00
90, 13192.14, 250.00
100, 16256.44, 278.00

mesh countAggregated
x, single, aggr
10,  0.00, 54.52
20,  0.00, 140.39
30,  0.00, 227.94
40,  0.00, 323.65
50,  0.00, 423.44
60,  0.00, 509.99
70,  0.00, 621.23
80,  0.00, 708.13
90,  0.00, 815.35
100,  0.00, 934.76

