tree speed
x, single, aggr
10,  5.07,  5.07
20,  7.05,  7.05
30,  8.95,  8.95
40, 10.89, 10.89
50, 12.87, 12.87
60, 14.78, 14.78
70, 16.94, 16.94
80, 18.85, 18.85
90, 20.91, 20.91
100, 22.93, 22.93

tree accuracyTotalPercentage
x, single, aggr
10, 100.00, 100.00
20, 100.00, 100.00
30, 100.00, 100.00
40, 100.00, 100.00
50, 100.00, 100.00
60, 100.00, 100.00
70, 100.00, 100.00
80, 100.00, 100.00
90, 100.00, 100.00
100, 100.00, 100.00

tree accuracySinglePercentage
x, single, aggr
10, 100.00, 49.48
20, 100.00, 32.34
30, 100.00, 28.18
40, 100.00, 26.07
50, 100.00, 24.79
60, 100.00, 24.01
70, 100.00, 23.46
80, 100.00, 22.99
90, 100.00, 22.65
100, 100.00, 22.39

tree accuracyCohortsMemberCount
x, single, aggr
10,  0.00,  5.22
20,  0.00, 13.68
30,  0.00, 21.68
40,  0.00, 29.72
50,  0.00, 37.68
60,  0.00, 45.69
70,  0.00, 53.64
80,  0.00, 61.66
90,  0.00, 69.63
100,  0.00, 77.61

tree accuracyCohortsGroupCount
x, single, aggr
10,  0.00,  1.47
20,  0.00,  2.07
30,  0.00,  2.07
40,  0.00,  2.05
50,  0.00,  2.10
60,  0.00,  2.02
70,  0.00,  2.13
80,  0.00,  2.07
90,  0.00,  2.14
100,  0.00,  2.15

tree accuracyAveragePerCohortsGroup
x, single, aggr
10,  0.00,  3.55
20,  0.00,  6.60
30,  0.00, 10.47
40,  0.00, 14.48
50,  0.00, 17.94
60,  0.00, 22.62
70,  0.00, 25.15
80,  0.00, 29.79
90,  0.00, 32.52
100,  0.00, 36.04

tree countTotal
x, single, aggr
10, 90.00, 53.92
20, 380.00, 150.69
30, 870.00, 285.58
40, 1560.00, 459.01
50, 2450.00, 674.81
60, 3540.00, 925.31
70, 4830.00, 1228.89
80, 6320.00, 1556.61
90, 8010.00, 1937.34
100, 9900.00, 2354.62

tree countSingle
x, single, aggr
10, 90.00, 18.00
20, 380.00, 38.00
30, 870.00, 58.00
40, 1560.00, 78.00
50, 2450.00, 98.00
60, 3540.00, 118.00
70, 4830.00, 138.00
80, 6320.00, 158.00
90, 8010.00, 178.00
100, 9900.00, 198.00

tree countAggregated
x, single, aggr
10,  0.00, 35.92
20,  0.00, 112.69
30,  0.00, 227.58
40,  0.00, 381.01
50,  0.00, 576.81
60,  0.00, 807.31
70,  0.00, 1090.89
80,  0.00, 1398.61
90,  0.00, 1759.34
100,  0.00, 2156.62

